query,expected_file,expected_topic,query_type,answer_keywords
自编码器的编码器和解码器分别负责什么？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,fact,降维;特征提取;重构;还原
变分自编码器VAE与普通自编码器的主要区别是什么？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,fact,概率分布;隐变量;KL散度;采样
去噪自编码器DAE的训练方式有什么特殊之处？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,fact,噪声;恢复;鲁棒性;泛化
VAE的重参数化技巧解决了什么问题？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,fact,采样;可导;反向传播;随机性
稀疏自编码器通过什么方式学习更有判别性的特征？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,fact,稀疏性约束;激活比例;正则化
标准自编码器和VAE在隐空间表示上有什么本质区别？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,compare,离散;连续分布;概率;生成能力
自编码器和PCA在主成分分析上各有什么优劣？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,compare,线性;非线性;神经网络;表达能力
自编码器有哪些主要变体，各自适用于什么场景？,自编码器_基本结构与变分自编码器_陈科宇.md,自编码器,summary,标准;去噪;稀疏;变分;降维;生成;去噪
这个资料里有没有讲YOLOv10目标检测算法？,自编码器_基本结构与变分自编码器_陈科宇.md,资料外,out_of_scope,
GAN中生成器和判别器的训练目标分别是什么？,GAN_生成对抗网络_陈科宇.md,GAN,fact,生成样本;判别真假;最小最大博弈;纳什均衡
GAN的目标函数为什么被称为极小极大博弈？,GAN_生成对抗网络_陈科宇.md,GAN,fact,minimax;对抗;零和;优化
什么是GAN训练中的模式坍塌问题？,GAN_生成对抗网络_陈科宇.md,GAN,fact,多样性不足;少数类别;生成器;收敛
WGAN相比原始GAN在损失函数上做了什么改进？,GAN_生成对抗网络_陈科宇.md,GAN,fact,Wasserstein距离;JS散度;训练稳定;Lipschitz
DCGAN在架构设计上提出了哪些关键改进？,GAN_生成对抗网络_陈科宇.md,GAN,fact,卷积层;批归一化;全连接层;稳定训练
CGAN和普通GAN在输入方式上有什么区别？,GAN_生成对抗网络_陈科宇.md,GAN,compare,条件;类别标签;控制生成;无监督;有监督
WGAN的权重裁剪和WGAN-GP的梯度惩罚各有什么优缺点？,GAN_生成对抗网络_陈科宇.md,GAN,compare,权重裁剪;梯度惩罚;容量限制;训练稳定
GAN训练不稳定的主要原因有哪些，常见的解决方法是什么？,GAN_生成对抗网络_陈科宇.md,GAN,summary,模式坍塌;梯度消失;训练不平衡;WGAN;梯度惩罚;架构改进
这个资料里有没有讲Diffusion扩散模型？,GAN_生成对抗网络_陈科宇.md,资料外,out_of_scope,
模型训练中梯度消失和梯度爆炸分别是什么原因导致的？,模型训练_流程与常见问题_陈科宇.md,模型训练,fact,链式法则;激活函数;权重初始化;梯度裁剪
早停Early Stopping策略的作用是什么？,模型训练_流程与常见问题_陈科宇.md,模型训练,fact,防止过拟合;验证集损失;停止训练;最优模型
ReLU激活函数为什么能缓解梯度消失问题？,模型训练_流程与常见问题_陈科宇.md,模型训练,fact,导数为1;非饱和;正值;梯度传播
学习率Warmup策略在训练初期有什么作用？,模型训练_流程与常见问题_陈科宇.md,模型训练,fact,逐渐增大;稳定;预热;避免震荡
