query,expected_file,expected_topic,query_type,answer_keywords
卷积神经网络有哪三个结构上的特性？,cha5-卷积神经网络.pdf,CNN/卷积神经网络的基本特性,fact,局部连接; 权重共享; 空间或时间上的次采样
卷积操作中的两个主要步骤是什么？,cha5-卷积神经网络.pdf,卷积操作的基本步骤,fact,翻转; 滑动; 对齐
卷积可以分为哪三种类型，它们的输出长度有什么区别？,cha5-卷积神经网络.pdf,卷积类型的分类,compare,窄卷积; 宽卷积; 等宽卷积; 输出长度
为什么在卷积神经网络中应用卷积层而不是全连接层？请说明参数减少的原理。,cha5-卷积神经网络.pdf,CNN相比全连接网络的优势,summary,局部连接; 参数少; 权重共享; 计算效率高
在图像处理中应用卷积时，为什么需要二维卷积而不是一维卷积？,cha5-卷积神经网络.pdf,二维卷积在图像处理中的应用,fact,图像是二维矩阵; 输入形式; 神经网络处理
什么是互相关，它与卷积操作有什么关系？,cha5-卷积神经网络.pdf,互相关与卷积的关系,compare,翻转不必要; 特征提取目标; 简化操作; 互相关定义
卷积层中滤波器的作用是什么，多个卷积核如何产生特征映射？,cha5-卷积神经网络.pdf,卷积核和特征映射,fact,特征提取器; 特征映射; 多个卷积核; 参数学习
汇聚层（Max Pooling）在CNN中的作用是什么？,cha5-卷积神经网络.pdf,汇聚层的功能,fact,减少神经元个数; 下采样; 参数减少; 图像变小
一个典型的卷积网络由哪些层构成？卷积块如何定义？,cha5-卷积神经网络.pdf,卷积网络的结构组成,summary,卷积层; 汇聚层; 全连接层; 卷积块; 堆叠结构
零填充（Zero Padding）在卷积操作中的作用是什么？,cha5-卷积神经网络.pdf,零填充的应用,fact,保持输出尺寸; 边界处理; 等宽卷积; 信息保留
前馈网络与循环神经网络在处理输入依赖关系上有什么根本差异？,cha6-循环神经网络.pdf,前馈网络和循环神经网络的对比,compare,前馈网络输出只依赖当前输入;循环神经网络具有记忆能力;循环神经网络引入隐状态
什么是长程依赖问题，它产生的根本原因是什么？,cha6-循环神经网络.pdf,RNN的长程依赖问题,fact,梯度消失或爆炸;只能学习短周期依赖;随时间反向传播过程中梯度衰减
LSTM长短期记忆网络中的三个门分别起什么作用？,cha6-循环神经网络.pdf,LSTM的门控机制,summary,输入门控制新信息;遗忘门控制旧信息保留;输出门控制外部输出
简单循环网络（SRN）的一个完全连接的循环网络可以近似什么类型的系统？,cha6-循环神经网络.pdf,简单循环网络的近似能力,fact,任何非线性动力系统;通用近似定理;动力系统
为什么前馈网络无法直接解决老虎机问题（Slot Filling任务）中需要记忆信息的问题？,cha6-循环神经网络.pdf,前馈网络的局限性,fact,前馈网络输出只依赖当前输入;无法保存历史信息;缺乏记忆机制
GRU（门控循环单元）中重置门的具体作用是什么？,cha6-循环神经网络.pdf,GRU的重置门机制,fact,控制候选状态计算;决定是否依赖上一时刻状态;重置门rt
双向循环神经网络（Bidirectional RNN）相比单向RNN在处理序列数据时有什么优势？,cha6-循环神经网络.pdf,双向RNN的优势,compare,既往后看也向前看;利用未来信息;双向上下文信息
在图像描述生成（Image Caption Generation）任务中，CNN和RNN各自的角色是什么？,cha6-循环神经网络.pdf,CNN和RNN的组合应用,fact,CNN提取图像特征;RNN生成文字序列;CNN输出图像向量
机器翻译中异步的序列到序列模式中，为什么需要两个不同的RNN？,cha6-循环神经网络.pdf,序列到序列模型,fact,一个RNN编码源语言;一个RNN解码生成目标语言;编码器-解码器架构
循环神经网络总体而言有哪些主要缺点？,cha6-循环神经网络.pdf,循环神经网络的局限性,summary,长程依赖问题;记忆容量有限;并行计算能力弱
