query,expected_file,expected_topic,query_type,answer_keywords
神经元模型的数学公式是什么？各符号代表什么含义？,神经网络基础_入门笔记_徐嘉泽.md,神经网络基础,fact,"加权求和;激活函数;偏置;权重;输入信号;输出"
Sigmoid和ReLU激活函数各有什么优缺点？,神经网络基础_入门笔记_徐嘉泽.md,神经网络基础,compare,"Sigmoid;梯度消失;ReLU;神经元死亡;计算简单;零中心化"
通用近似定理说明了什么？,深度学习入门_神经网络结构_徐嘉泽.md,神经网络基础,fact,"通用近似定理;任意精度;有界闭集函数;隐藏层;前馈神经网络"
为什么分类任务通常使用交叉熵损失而不是均方误差？,损失函数与优化器_对比与选择_徐嘉泽.md,损失函数,compare,"分类任务;交叉熵;MSE;梯度消失;概率解释;收敛速度"
SGD和Adam优化器的主要区别是什么？,损失函数与优化器_对比与选择_徐嘉泽.md,优化器,compare,"SGD;Adam;自适应学习率;动量;一阶矩;二阶矩;收敛速度"
反向传播算法中，误差项是如何从输出层传递到隐藏层的？,反向传播与优化_原理详解_徐嘉泽.md,反向传播,fact,"误差项;链式法则;输出层;隐藏层;权重矩阵;激活函数导数"
计算图在反向传播中起什么作用？,反向传播与优化_原理详解_徐嘉泽.md,反向传播,fact,"计算图;自动微分;链式法则;节点;反向模式;复合函数"
自动微分的前向模式和反向模式有什么区别？,反向传播与优化_原理详解_徐嘉泽.md,反向传播,compare,"前向模式;反向模式;输入维度;输出维度;神经网络;梯度计算"
过拟合和欠拟合分别有什么表现？如何判断？,过拟合与正则化_方法详解_徐嘉泽.md,过拟合与正则化,compare,"训练误差;测试误差;验证集损失;过拟合;欠拟合;差距"
Dropout的作用是什么？为什么能防止过拟合？,过拟合与正则化_方法详解_徐嘉泽.md,过拟合与正则化,fact,"随机失活;共适应;隐式集成;鲁棒特征;防止过拟合;丢弃率"
L2正则化为什么被称为权值衰减？,模型正则化与泛化_实践指南_徐嘉泽.md,过拟合与正则化,fact,"权值衰减;惩罚项;权重变小;模型复杂度;正则化系数;参数更新"
Early Stopping为什么能防止过拟合？,模型正则化与泛化_实践指南_徐嘉泽.md,过拟合与正则化,fact,"验证集损失;临界点;学规律;记噪声;训练轮数;Patience"
偏差与方差分解中，期望错误由哪几部分组成？,过拟合与正则化_方法详解_徐嘉泽.md,过拟合与正则化,fact,"偏差;方差;噪声;期望错误;欠拟合;过拟合"
为什么说神经网络天然是深度学习？,深度学习入门_神经网络结构_徐嘉泽.md,神经网络基础,fact,"神经网络;深度学习;贡献度分配;偏导数;连接主义;多层网络"
