query,expected_file,expected_topic,query_type,answer_keywords
神经元模型中 z=w^T x+b 和 a=f(z) 分别表示什么？,神经网络与反向传播_可靠资料整理.md,神经网络基础,fact,"权重;输入;偏置;激活函数;输出"
为什么没有非线性激活函数时，多层网络仍然等价于线性变换？,神经网络与反向传播_可靠资料整理.md,神经网络基础,fact,"线性变换;非线性;表达能力;激活函数"
反向传播为什么可以高效计算深层网络中每个参数的梯度？,神经网络与反向传播_可靠资料整理.md,反向传播,fact,"链式法则;计算图;局部导数;误差信号;梯度"
自动微分和数值差分有什么区别？,神经网络与反向传播_可靠资料整理.md,反向传播,compare,"自动微分;数值差分;链式法则;扰动参数;计算成本"
梯度消失和梯度爆炸分别是什么现象？,神经网络与反向传播_可靠资料整理.md,反向传播,compare,"梯度消失;梯度爆炸;局部导数;深层网络;RNN"
学习率过大或过小时会带来什么训练问题？,优化器与训练稳定性_可靠资料整理.md,优化器,fact,"学习率;震荡;发散;收敛慢;步长"
SGD、Momentum 和 Adam 的核心区别是什么？,优化器与训练稳定性_可靠资料整理.md,优化器,compare,"SGD;动量;Adam;一阶矩;二阶矩;自适应学习率"
为什么 Adam 在训练初期通常收敛较快？,优化器与训练稳定性_可靠资料整理.md,优化器,fact,"Adam;一阶矩;二阶矩;自适应;收敛"
训练过程中 loss 变成 NaN 时应该优先排查哪些因素？,优化器与训练稳定性_可靠资料整理.md,训练稳定性,fact,"NaN;学习率;梯度爆炸;数据;损失函数;梯度裁剪"
AdamW 与普通 Adam 在权重衰减处理上有什么区别？,优化器与训练稳定性_可靠资料整理.md,优化器,compare,"AdamW;Adam;权重衰减;解耦;Transformer"
过拟合通常有哪些表现？,正则化泛化与归一化_可靠资料整理.md,正则化,fact,"训练损失;验证损失;训练准确率;验证准确率;泛化"
L1 正则化和 L2 正则化有什么区别？,正则化泛化与归一化_可靠资料整理.md,正则化,compare,"L1;L2;稀疏;权重衰减;模型复杂度"
Dropout 为什么能降低过拟合风险？,正则化泛化与归一化_可靠资料整理.md,Dropout,fact,"随机丢弃;共适应;隐式集成;鲁棒性;过拟合"
Batch Normalization 的主要作用是什么？,正则化泛化与归一化_可靠资料整理.md,BatchNorm,fact,"Batch Normalization;激活分布;学习率;训练稳定;正则化"
Early Stopping 为什么可以看作一种正则化？,正则化泛化与归一化_可靠资料整理.md,正则化,fact,"Early Stopping;验证集;训练轮数;噪声;过拟合"
CNN 为什么比全连接网络更适合图像任务？,CNN卷积神经网络_可靠资料整理.md,CNN,fact,"局部连接;权值共享;参数更少;空间结构;图像"
卷积核、步幅和填充分别会影响 CNN 的什么？,CNN卷积神经网络_可靠资料整理.md,CNN,fact,"卷积核;步幅;填充;输出尺寸;特征图"
池化层在 CNN 中有什么作用？,CNN卷积神经网络_可靠资料整理.md,CNN,fact,"池化;下采样;鲁棒性;感受野;计算量"
CNN 的低层、中层和高层特征通常有什么差异？,CNN卷积神经网络_可靠资料整理.md,CNN,fact,"边缘;纹理;局部形状;语义;层次化"
CNN 和 Vision Transformer 在建模关系上有什么不同？,CNN卷积神经网络_可靠资料整理.md,CNN,compare,"CNN;局部模式;自注意力;全局关系;Vision Transformer"
RNN 如何利用隐藏状态处理序列数据？,RNN_LSTM与序列建模_可靠资料整理.md,RNN,fact,"隐藏状态;历史信息;序列;时间步;参数共享"
普通 RNN 为什么难以学习长距离依赖？,RNN_LSTM与序列建模_可靠资料整理.md,RNN,fact,"长距离依赖;梯度消失;梯度爆炸;时间展开"
LSTM 的遗忘门、输入门和输出门分别有什么作用？,RNN_LSTM与序列建模_可靠资料整理.md,LSTM,fact,"遗忘门;输入门;输出门;记忆单元;门控"
